t,state
95048,1.97626e-323
95049,1.97626e-323
95050,1.97626e-323
95051,1.97626e-323
95052,1.97626e-323
95053,1.97626e-323
95054,1.97626e-323
95055,1.97626e-323
95056,1.97626e-323
95057,1.97626e-323
95058,1.97626e-323
95059,1.97626e-323
95060,1.97626e-323
95061,1.97626e-323
95062,1.97626e-323
95063,1.97626e-323
95064,1.97626e-323
95065,1.97626e-323
95066,1.97626e-323
95067,1.97626e-323
95068,1.97626e-323
95069,1.97626e-323
95070,1.97626e-323
95071,1.97626e-323
95072,1.97626e-323
95073,1.97626e-323
95074,1.97626e-323
95075,1.97626e-323
95076,1.97626e-323
95077,1.97626e-323
95078,1.97626e-323
95079,1.97626e-323
95080,1.97626e-323
95081,1.97626e-323
95082,1.97626e-323
95083,1.97626e-323
95084,1.97626e-323
95085,1.97626e-323
95086,1.97626e-323
95087,1.97626e-323
95088,1.97626e-323
95089,1.97626e-323
95090,1.97626e-323
95091,1.97626e-323
95092,1.97626e-323
95093,1.97626e-323
95094,1.97626e-323
95095,1.97626e-323
95096,1.97626e-323
95097,1.97626e-323
95098,1.97626e-323
95099,1.97626e-323
95100,1.97626e-323
95101,1.97626e-323
95102,1.97626e-323
95103,1.97626e-323
95104,1.97626e-323
95105,1.97626e-323
95106,1.97626e-323
95107,1.97626e-323
95108,1.97626e-323
95109,1.97626e-323
95110,1.97626e-323
95111,1.97626e-323
95112,1.97626e-323
95113,1.97626e-323
95114,1.97626e-323
95115,1.97626e-323
95116,1.97626e-323
95117,1.97626e-323
95118,1.97626e-323
95119,1.97626e-323
95120,1.97626e-323
95121,1.97626e-323
95122,1.97626e-323
95123,1.97626e-323
95124,1.97626e-323
95125,1.97626e-323
95126,1.97626e-323
95127,1.97626e-323
95128,1.97626e-323
95129,1.97626e-323
95130,1.97626e-323
95131,1.97626e-323
95132,1.97626e-323
95133,1.97626e-323
95134,1.97626e-323
95135,1.97626e-323
95136,1.97626e-323
95137,1.97626e-323
95138,1.97626e-323
95139,1.97626e-323
95140,1.97626e-323
95141,1.97626e-323
95142,1.97626e-323
95143,1.97626e-323
95144,1.97626e-323
95145,1.97626e-323
95146,1.97626e-323
95147,1.97626e-323
95148,1.97626e-323
